LightPink,浅粉红,#FFB6C1,255,182,193
Pink,粉红, #FFC0CB,255,192,203
Crimson, 猩红, #DC143C,220,20,60
 LavenderBlush, 脸红的淡紫色, #FFF0F5,255,240,245
PaleVioletRed, 苍白的紫罗兰红色, #DB7093,219,112,147
 HotPink, 热情的粉红, #FF69B4,255,105,180
 DeepPink,深粉色, #FF1493,255,20,147
 MediumVioletRed, 适中的紫罗兰红色, #C71585,199,21,133
Orchid,兰花的紫色, #DA70D6,218,112,214
 Thistle, 蓟,#D8BFD8,216,191,216
 plum, 李子, #DDA0DD,221,160,221
 Violet, 紫罗兰, #EE82EE,238,130,238
 Fuchsia, 紫红色, #FF00FF,255,0,255
DarkMagenta, 深洋红色, #8B008B,139,0,139
 Purple,紫色,#800080,128,0,128
 MediumOrchid, 适中的兰花紫, #BA55D3,186,85,211
 DarkVoilet, 深紫罗兰色, #9400D3,148,0,211
 DarkOrchid, 深兰花紫, #9932CC,153,50,204
 Indigo, 靛青, #4B0082,75,0,130
 BlueViolet, 深紫罗兰的蓝色, #8A2BE2,138,43,226
 MediumPurple,适中的紫色, #9370DB,147,112,219
 MediumSlateBlue, 适中的板岩暗蓝灰色, #7B68EE,123,104,238
SlateBlue,板岩暗蓝灰色 ,#6A5ACD,106,90,205
DarkSlateBlue,深岩暗蓝灰色, #483D8B,72,61,139
 Lavender,淡紫色, #E6E6FA,230,230,250
GhostWhite,白色, #F8F8FF,248,248,255
Blue,蓝色,#0000FF,0,0,255
MediumBlue, 适中的蓝色,#0000CD,0,0,205
 MidnightBlue, 午夜的蓝色, #191970,25,25,112
DarkBlue, 深蓝色,#00008B,0,0,139
Navy,海军蓝,#000080,0,0,128
RoyalBlue,皇家蓝, #4169E1,65,105,225
 CornflowerBlue, 矢车菊的蓝色, #6495ED,100,149,237
LightSteelBlue, 淡钢蓝,#B0C4DE,176,196,222
LightSlateGray, 浅石板灰, #778899,119,136,153
SlateGray, 石板灰, #708090,112,128,144
DoderBlue, 道奇蓝, #1E90FF,30,144,255
AliceBlue,爱丽丝蓝, #F0F8FF,240,248,255
 SteelBlue,钢蓝,#4682B4,70,130,180
 LightSkyBlue, 淡蓝色,#87CEFA,135,206,250
 SkyBlue, 天蓝色, #87CEEB,135,206,235
 DeepSkyBlue,深天蓝,#00BFFF,0,191,255
 LightBLue, 淡蓝, #ADD8E6,173,216,230
PowDerBlue, 火药蓝,#B0E0E6,176,224,230
 CadetBlue, 军校蓝, #5F9EA0,95,158,160
Azure, 蔚蓝色, #F0FFFF,240,255,255
 LightCyan, 淡青色, #E1FFFF,225,255,255
PaleTurquoise, 苍白的绿宝石色, #AFEEEE,175,238,238
 Cyan, 青色,#00FFFF,0,255,255
 Aqua,水绿色, #D4F2E7,212,242,231
 DarkTurquoise,深绿宝石色,#00CED1,0,206,209
DarkSlateGray,深石板灰色,#2F4F4F,47,79,79
DarkCyan, 深青色, #008B8B,0,139,139
 Teal,水鸭色, #008080,0,128,128
MediumTurquoise,适中的绿宝石色, #48D1CC,72,209,204
 LightSeaGreen,浅海洋绿色, #20B2AA,32,178,170
 Turquoise,绿宝石色, #40E0D0,64,224,208
 Auqamarin,碧绿色, #7FFFAA,127,255,170
MediumAquamarine,适中的碧绿色,#00FA9A,0,250,154
MediumSpringGreen,适中的春天的绿色, #00FF7F,0,255,127
MintCream, 薄荷奶油,#F5FFFA,245,255,250
SpringGreen, 春天的绿色,#3CB371,60,179,113
SeaGreen, 海洋绿,#2E8B57,46,139,87
 Honeydew,蜂蜜色,#F0FFF0,240,255,240
 LightGreen, 淡绿色, #90EE90,144,238,144
 PaleGreen,苍白的绿色, #98FB98,152,251,152
DarkSeaGreen, 深海洋绿, #8FBC8F,143,188,143
LimeGreen, 酸橙绿, #32CD32,50,205,50
Lime, 酸橙色, #00FF00,0,255,0
 ForestGreen, 森林绿, #228B22,34,139,34
Green,绿色, #008000,0,128,0
DarkGreen, 深绿色, #006400,0,100,0
Chartreuse, 查特酒绿, #7FFF00,127,255,0
LawnGreen , 草坪绿, #7CFC00,124,252,0
GreenYellow,绿黄色, #ADFF2F,173,255,47
OliveDrab,橄榄土褐色,#556B2F,85,107,47
 Beige,浅褐色,#F5F5DC,245,245,220
LightGoldenrodYellow, 浅秋麒麟黄,#FAFAD2,250,250,210
Ivory,象牙色,#FFFFF0,255,255,240
 LightYellow, 浅黄色, #FFFFE0,255,255,224
Yellow,黄色, #FFFF00,255,255,0
Olive, 橄榄色, #808000,128,128,0
DarkKhaki,深卡其布色,#BDB76B,189,183,107
LemonChiffon,柠檬薄纱色, #FFFACD,255,250,205
 PaleGodenrod, 灰秋麒麟色,#EEE8AA,238,232,170
Khaki,卡其布色,#F0E68C,240,230,140
Gold,金色,#FFD700,255,215,0
 Cornislk,玉米色,#FFF8DC,255,248,220
 GoldEnrod, 秋麒麟色, #DAA520,218,165,32
FloralWhite, 花的白色, #FFFAF0,255,250,240
 Wheat, 小麦色, #F5DEB3,245,222,179
Orange, 橙色, #FFA500,255,165,0
 PapayaWhip,番木瓜色,#FFEFD5,255,239,213
BlanchedAlmond,漂白的杏仁色,#FFEBCD,255,235,205
AntiqueWhite,古代的白色, #FAEBD7,250,235,215
DarkOrange,深橙色, #FF8C00,255,140,0
 Linen, 亚麻布色, #FAF0E6,250,240,230
 PeachPuff, 桃色, #FFDAB9,255,218,185
SandyBrown, 沙棕色, #F4A460,244,164,96
Chocolate, 巧克力,#D2691E,210,105,30
 SaddleBrown,马鞍棕色,#8B4513,139,69,19
 SeaShell, 海贝壳色, #FFF5EE,255,245,238
Coral, 珊瑚色,#FF7F50,255,127,80
OrangeRed,橙红色, #FF4500,255,69,0
 Tomato,番茄色, #FF6347,255,99,71
 Snow, 雪白色, #FFFAFA,255,250,250
LightCoral, 淡珊瑚色, #F08080,240,128,128
RosyBrown, 玫瑰棕色, #BC8F8F,188,143,143
 IndianRed,印度红, #CD5C5C,205,92,92
 Red,红色,#FF0000,255,0,0
Brown,棕色, #A52A2A,165,42,42
 DarkRed, 深红色, #8B0000,139,0,0
 Maroon,栗色, #800000,128,0,0
White,白色, #FFFFFF,255,255,255
WhiteSmoke,白色,#F5F5F5,245,245,245
Gainsboro,亮灰色, #DCDCDC,220,220,220
 LightGrey,浅灰色,#D3D3D3,211,211,211
Silver, 银白色, #C0C0C0,192,192,192
 DarkGray, 深灰色,#A9A9A9,169,169,169
 Gray,灰色,#808080,128,128,128
DimGray, 暗淡的灰色,#696969,105,105,105
Black,黑色,#000000,0,0,0
black,黑色,#3C3C3C,60,60,60
